,Name,Sector,Code,Market,Mktcap(m),Share_count(m),EPS,PERatio,ROE
138,SUNGEI BAGAN RUBBER COMPANY (MALAYA) BERHAD,PLANTATION ,SBAGAN (2569),MAIN,192.36,66.33,-12.25 *,-,-1.36
139,SIN HENG CHAN (MALAYA) BERHAD,PLANTATION ,SHCHAN (4316),MAIN,40.88,131.87,-5.75 *,-,-13.37
140,SIME DARBY PLANTATION BERHAD,PLANTATION ,SIMEPLT (5285),MAIN,33252.0,6885.0,-,-,-
141,SARAWAK OIL PALMS BERHAD,PLANTATION ,SOP (5126),MAIN,1302.0,570.87,7.63 *,29.88,2.02
142,SARAWAK PLANTATION BERHAD,PLANTATION ,SWKPLNT (5135),MAIN,462.0,280.0,6.28 *,26.27,3.19
143,TA ANN HOLDINGS BERHAD,PLANTATION ,TAANN (5012),MAIN,1000.9999999999999,444.84,18.44 *,12.2,5.84
144,TDM BERHAD,PLANTATION ,TDM (2054),MAIN,319.7,1683.0,-4.66 *,-,-8.32
145,TH PLANTATIONS BERHAD,PLANTATION ,THPLANT (5112),MAIN,446.34,883.85,-68.56 *,-,-81.62
146,TSH RESOURCES BERHAD,PLANTATION ,TSH (9059),MAIN,1244.0,1382.0,2.59 *,34.75,2.6
147,UNITED MALACCA BERHAD,PLANTATION ,UMCCA (2593),MAIN,1101.0,209.69,-19.92 *,-,-2.85
148,UNITED PLANTATIONS BERHAD,PLANTATION ,UTDPLT (2089),MAIN,5516.0,208.13,-,-,-
149,ACME HOLDINGS BERHAD,PROPERTY ,ACME (7131),MAIN,54.91,238.76,3.97 *,5.79,0.12
150,AMCORP PROPERTIES BERHAD,PROPERTY ,AMPROP (1007),MAIN,335.61,610.21,4.00 *,13.75,2.58
151,AMVERTON BERHAD,PROPERTY ,AMVERTON (5959),MAIN,397.92,365.06,19.93 *,5.47,10.17
152,ARK RESOURCES HOLDINGS BERHAD,PROPERTY ,ARK (7007),MAIN,13.63,48.67,-6.17 *,-,-20.57
153,ASIAN PAC HOLDINGS BERHAD,PROPERTY ,ASIAPAC (4057),MAIN,140.01,1037.0,5.08 *,2.66,5.03
154,AYER HOLDINGS BERHAD,PROPERTY ,AYER (2305),MAIN,344.32,74.85,27.79 *,16.55,4.03
155,BCB BERHAD,PROPERTY ,BCB (6602),MAIN,96.94,412.5,8.32 *,2.82,6.99
156,BINA DARULAMAN BERHAD,PROPERTY ,BDB (6173),MAIN,113.95,303.85,-12.26 *,-,-8.23
157,BERTAM ALLIANCE BERHAD,PROPERTY ,BERTAM (9814),MAIN,51.69,206.76,-1.76 *,-,-1.98
158,BERJAYA ASSETS BERHAD,PROPERTY ,BJASSET (3239),MAIN,780.24,2558.0,-1.15 *,-,-1.26
159,COUNTRY HEIGHTS HOLDINGS BHD,PROPERTY ,CHHB (5738),MAIN,410.8,275.71,31.47 *,4.73,10.06
160,CRESCENDO CORPORATION BERHAD,PROPERTY ,CRESNDO (6718),MAIN,350.58,280.46,15.44 *,8.1,4.78
161,COUNTRY VIEW BERHAD,PROPERTY ,CVIEW (5049),MAIN,145.0,100.0,74.93 *,1.94,19.07
162,DAMANSARA REALTY BHD,PROPERTY ,DBHD (3484),MAIN,140.08,318.37,6.49 *,6.78,12.02
163,DPS RESOURCES BERHAD,PROPERTY ,DPS (7198),MAIN,38.21,587.77,-0.37 *,-,-1.85
164,EASTERN & ORIENTAL BERHAD,PROPERTY ,E&O (3417),MAIN,1187.0,1457.0,4.28 *,19.04,3.06
165,ECOFIRST CONSOLIDATED BHD,PROPERTY ,ECOFIRS (3557),MAIN,240.95,803.16,3.05 *,9.84,7.48
166,ECO WORLD DEVELOPMENT GROUP BERHAD,PROPERTY ,ECOWLD (8206),MAIN,2355.0,2944.0,6.06 *,13.2,4.07
167,ENCORP BERHAD,PROPERTY ,ENCORP (6076),MAIN,99.6,306.47,-2.96 *,-,-2.19
168,ENRA GROUP BERHAD,PROPERTY ,ENRA (8613),MAIN,185.24,136.21,-18.01 *,-,-19.79
169,EUPE CORPORATION BERHAD,PROPERTY ,EUPE (6815),MAIN,85.76,128.0,23.67 *,2.83,9.47
170,EWEIN BERHAD,PROPERTY ,EWEIN (7249),MAIN,212.62,301.59,14.33 *,4.92,17.91
171,ECO WORLD INTERNATIONAL BERHAD,PROPERTY ,EWINT (5283),MAIN,1584.0,2400.0,3.80 *,17.37,3.65
172,FARLIM GROUP (MALAYSIA) BHD,PROPERTY ,FARLIM (6041),MAIN,57.25,168.39,-0.34 *,-,-0.33
173,GLOMAC BERHAD,PROPERTY ,GLOMAC (5020),MAIN,304.03,800.09,1.70 *,22.35,1.21
174,GROMUTUAL BERHAD,PROPERTY ,GMUTUAL (9962),MAIN,101.41,375.61,1.70 *,15.88,1.83
175,GLOBAL ORIENTAL BERHAD,PROPERTY ,GOB (1147),MAIN,75.02,454.68,-21.41 *,-,-34.53
176,GSB GROUP BERHAD,PROPERTY ,GSB (7077),MAIN,102.2,552.44,-0.37 *,-,-3.66
177,GUOCOLAND (MALAYSIA) BERHAD,PROPERTY ,GUOCO (1503),MAIN,490.32,700.46,-5.90 *,-,-3.04
178,HCK CAPITAL GROUP BERHAD,PROPERTY ,HCK (7105),MAIN,519.4,422.28,1.57 *,78.34,3.34
179,GRAND HOOVER BERHAD,PROPERTY ,HOOVER (7010),MAIN,24.0,40.0,-4.88 *,-,-4.32
180,HUA YANG BERHAD,PROPERTY ,HUAYANG (5062),MAIN,154.88,352.0,-5.82 *,-,-3.49
181,I-BERHAD,PROPERTY ,IBHD (4251),MAIN,365.14,1014.0,4.02 *,8.96,4.14
182,IBRACO BERHAD,PROPERTY ,IBRACO (5084),MAIN,337.56,496.41,6.27 *,10.85,8.93
183,IDEAL UNITED BINTANG INTERNATIONAL BERHAD,PROPERTY ,IDEAL (9687),MAIN,616.53,463.56,10.45 *,12.73,7.29
184,IGB BERHAD,PROPERTY ,IGBB (5606),MAIN,1924.0,689.57,36.40 *,7.66,7.12
185,IOI PROPERTIES GROUP BERHAD,PROPERTY ,IOIPG (5249),MAIN,7598.0,5506.0,14.28 *,9.66,4.22
186,IVORY PROPERTIES GROUP BERHAD,PROPERTY ,IVORY (5175),MAIN,100.47,490.08,0.10 *,205,0.12
187,ISKANDAR WATERFRONT CITY BERHAD,PROPERTY ,IWCITY (1589),MAIN,837.39,837.39,-,-,-
188,JIANKUN INTERNATIONAL BERHAD,PROPERTY ,JIANKUN (8923),MAIN,54.22,166.85,1.24 *,26.21,4
189,JKG LAND BERHAD,PROPERTY ,JKGLAND (6769),MAIN,181.99,2275.0,0.10 *,80,0.5
190,KARAMBUNAI CORP BHD,PROPERTY ,KBUNAI (3115),MAIN,548.78,5777.0,0.16 *,59.38,1.07
191,KEN HOLDINGS BERHAD,PROPERTY ,KEN (7323),MAIN,117.91,191.72,11.53 *,5.33,6.44
192,KSL HOLDINGS BERHAD,PROPERTY ,KSL (5038),MAIN,830.01,1038.0,20.89 *,3.83,7.46
193,LAND & GENERAL BERHAD,PROPERTY ,L&G (3174),MAIN,475.7,2973.0,1.30 *,12.31,3.52
194,LBI CAPITAL BERHAD,PROPERTY ,LBICAP (8494),MAIN,70.99,98.59,8.32 *,8.65,4.81
195,LBS BINA GROUP BERHAD,PROPERTY ,LBS (5789),MAIN,884.79,1566.0,5.09 *,11.1,5.85
196,LIEN HOE CORPORATION BERHAD,PROPERTY ,LIENHOE (3573),MAIN,90.44,361.74,-10.07 *,-,-7.14
197,MAGNA PRIMA BERHAD,PROPERTY ,MAGNA (7617),MAIN,318.17,334.91,-17.93 *,-,-11.49
198,MAH SING GROUP BERHAD,PROPERTY ,MAHSING (8583),MAIN,2209.0,2428.0,10.81 *,8.42,7.46
199,MALTON BERHAD,PROPERTY ,MALTON (6181),MAIN,290.48,528.14,2.59 *,21.24,1.49
200,MATRIX CONCEPTS HOLDINGS BERHAD,PROPERTY ,MATRIX (5236),MAIN,1534.0,786.81,27.65 *,7.05,15.71
201,MB WORLD GROUP BERHAD,PROPERTY ,MBWORLD (7189),MAIN,251.8,157.38,36.66 *,4.36,23.2
202,MCT BERHAD,PROPERTY ,MCT (5182),MAIN,400.67,1457.0,-,-,-
203,MENANG CORPORATION (M) BERHAD,PROPERTY ,MENANG (1694),MAIN,161.07,480.8,1.76 *,19.03,2.67
204,MERIDIAN BERHAD,PROPERTY ,MERIDIAN (5040),MAIN,113.29,492.56,-4.75 *,-,-20.65
205,MAJUPERAK HOLDINGS BERHAD,PROPERTY ,MJPERAK (8141),MAIN,57.84,257.05,0.43 *,52.33,0.62
206,MKH BERHAD,PROPERTY ,MKH (6114),MAIN,721.45,586.55,12.99 *,9.47,4.78
207,MK LAND HOLDINGS BERHAD,PROPERTY ,MKLAND (8893),MAIN,223.34,1207.0,1.36 *,13.6,1.36
208,MALAYSIA PACIFIC CORPORATION BERHAD,PROPERTY ,MPCORP (6548),MAIN,12.94,287.66,-0.17 *,-,-0.4
209,MALAYSIAN RESOURCES CORPORATION BERHAD,PROPERTY ,MRCB (1651),MAIN,4147.0,4412.0,1.90 *,49.47,1.73
210,MULTI-USAGE HOLDINGS BERHAD,PROPERTY ,MUH (9539),MAIN,30.47,56.42,-6.66 *,-,-5.74
211,MUI PROPERTIES BERHAD,PROPERTY ,MUIPROP (3913),MAIN,156.63,764.06,0.92 *,22.28,2.61
212,NAIM HOLDINGS BERHAD,PROPERTY ,NAIM (5073),MAIN,480.4,513.8,16.05 *,5.83,6.39
213,ORIENTAL INTEREST BERHAD,PROPERTY ,OIB (5827),MAIN,306.62,154.86,35.44 *,5.59,12.98
214,OSK HOLDINGS BERHAD,PROPERTY ,OSK (5053),MAIN,2001.0,2095.0,17.30 *,5.52,7.62
