Name,Sector,Code,Market,Number,Mktcap,Share_count,EPS,PERatio,ROE
MALAYSIA BUILDING SOCIETY BERHAD,FINANCIAL SERVICES ,MBSB (1171),MAIN,1171,5.782b,6.389b,6.41 *,14.12,5.19
MNRB HOLDINGS BERHAD,FINANCIAL SERVICES ,MNRB (6459),MAIN,6459,859.10m,767.05m,12.55 *,8.92,4.31
MPHB CAPITAL BERHAD,FINANCIAL SERVICES ,MPHBCAP (5237),MAIN,5237,829.40m,715.00m,3.89 *,29.82,2.04
OSK VENTURES INTERNATIONAL BERHAD,FINANCIAL SERVICES ,OSKVI (0053),ACE,53,85.95m,197.60m,-7.35 *,-,-8.26
PACIFIC & ORIENT BERHAD,FINANCIAL SERVICES ,P&O (6009),MAIN,6009,284.08m,286.95m,-1.21 *,-,-1.09
PUBLIC BANK BERHAD,FINANCIAL SERVICES ,PBBANK (1295),MAIN,1295,89.134b,3.882b,144.13 *,15.93,13.66
RCE CAPITAL BERHAD,FINANCIAL SERVICES ,RCECAP (9296),MAIN,9296,590.32m,364.39m,26.22 *,6.18,15.33
RHB BANK BERHAD,FINANCIAL SERVICES ,RHBBANK (1066),MAIN,1066,22.978b,4.010b,58.47 *,9.8,9.62
TA ENTERPRISE BERHAD,FINANCIAL SERVICES ,TA (4898),MAIN,4898,1.096b,1.712b,6.38 *,10.03,4.2
SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD,FINANCIAL SERVICES ,TAKAFUL (6139),MAIN,6139,5.746b,826.79m,38.87 *,17.88,29.45
TUNE PROTECT GROUP BERHAD,FINANCIAL SERVICES ,TUNEPRO (5230),MAIN,5230,545.03m,751.76m,6.80 *,10.66,9.32
