Name,Sector,Code,Market,Number,Mktcap,Share_count,EPS,PERatio,ROE
KPJ HEALTHCARE BERHAD,HEALTH CARE ,KPJ (5878),MAIN,5878,4.394b,4.438b,3.97 *,24.94,10.45
LKL INTERNATIONAL BERHAD,HEALTH CARE ,LKL (0182),ACE,182,47.17m,428.80m,-0.58 *,-,-4.46
MALAYSIAN GENOMICS RESOURCE CENTRE BERHAD,HEALTH CARE ,MGRC (0155),ACE,155,26.91m,103.51m,-3.82 *,-,-22.87
NOVA WELLNESS GROUP BERHAD,HEALTH CARE ,NOVA (0201),ACE,201,144.57m,317.74m,2.64 *,17.23,11.48
PHARMANIAGA BERHAD,HEALTH CARE ,PHARMA (7081),MAIN,7081,726.22m,261.23m,17.03 *,16.32,8.39
SUPERMAX CORPORATION BERHAD,HEALTH CARE ,SUPERMX (7106),MAIN,7106,2.217b,1.360b,8.71 *,18.71,10.75
TMC LIFE SCIENCES BERHAD,HEALTH CARE ,TMCLIFE (0101),MAIN,101,1.245b,1.742b,1.74 *,41.09,4.05
TOP GLOVE CORPORATION BHD,HEALTH CARE ,TOPGLOV (7113),MAIN,7113,12.112b,2.561b,15.31 *,30.89,15.78
Y.S.P.SOUTHEAST ASIA HOLDING BERHAD,HEALTH CARE ,YSPSAH (7178),MAIN,7178,340.58m,139.58m,20.39 *,11.97,8.87
ASTRAL ASIA BERHAD,PLANTATION ,AASIA (7054),MAIN,7054,105.60m,659.98m,-0.56 *,-,-1.89
BATU KAWAN BERHAD,PLANTATION ,BKAWAN (1899),MAIN,1899,7.246b,435.95m,90.33 *,18.4,6.19
BLD PLANTATION BHD.,PLANTATION ,BLDPLNT (5069),MAIN,5069,629.26m,93.50m,-,-,-
BOUSTEAD PLANTATIONS BERHAD,PLANTATION ,BPLANT (5254),MAIN,5254,1.635b,2.240b,-3.27 *,-,-2.7
CEPATWAWASAN GROUP BERHAD,PLANTATION ,CEPAT (8982),MAIN,8982,176.74m,318.45m,0.13 *,426.92,0.12
CHIN TECK PLANTATIONS BERHAD,PLANTATION ,CHINTEK (1929),MAIN,1929,590.21m,91.36m,59.21 *,10.91,8.12
DUTALAND BERHAD,PLANTATION ,DUTALND (3948),MAIN,3948,372.29m,846.12m,46.10 *,0.95,29.94
FAR EAST HOLDINGS BERHAD,PLANTATION ,FAREAST (5029),MAIN,5029,1.556b,593.84m,7.69 *,34.07,4.18
FGV HOLDINGS BERHAD,PLANTATION ,FGV (5222),MAIN,5222,4.122b,3.648b,-29.73 *,-,-24.57
GENTING PLANTATIONS BERHAD,PLANTATION ,GENP (2291),MAIN,2291,8.992b,897.36m,11.77 *,85.13,2.27
GOLDEN LAND BERHAD,PLANTATION ,GLBHD (7382),MAIN,7382,93.62m,222.91m,-9.72 *,-,-4.79
GOPENG BERHAD,PLANTATION ,GOPENG (2135),MAIN,2135,186.95m,268.99m,0.07 *,992.86,0.06
HARN LEN CORPORATION BHD,PLANTATION ,HARNLEN (7501),MAIN,7501,122.41m,185.48m,-12.12 *,-,-7.62
HAP SENG PLANTATIONS HOLDINGS BERHAD,PLANTATION ,HSPLANT (5138),MAIN,5138,1.256b,800.00m,2.26 *,69.47,1.11
IJM PLANTATIONS BERHAD,PLANTATION ,IJMPLNT (2216),MAIN,2216,1.294b,880.58m,-4.13 *,-,-2.74
INCH KENNETH KAJANG RUBBER PUBLIC LTD CO,PLANTATION ,INCKEN (2607),MAIN,2607,250.35m,420.75m,-3.37 *,-,-2.04
INNOPRISE PLANTATIONS BERHAD,PLANTATION ,INNO (6262),MAIN,6262,325.62m,478.86m,2.09 *,32.54,1.62
IOI CORPORATION BERHAD,PLANTATION ,IOICORP (1961),MAIN,1961,26.710b,6.285b,9.88 *,43.02,6.72
JAYA TIASA HOLDINGS BHD,PLANTATION ,JTIASA (4383),MAIN,4383,462.52m,973.72m,-22.31 *,-,-17.57
KUALA LUMPUR KEPONG BERHAD,PLANTATION ,KLK (2445),MAIN,2445,25.898b,1.068b,59.70 *,40.64,5.98
KLUANG RUBBER COMPANY (MALAYA) BERHAD,PLANTATION ,KLUANG (2453),MAIN,2453,214.15m,63.17m,-13.76 *,-,-1.28
KIM LOONG RESOURCES BERHAD,PLANTATION ,KMLOONG (5027),MAIN,5027,1.094b,935.41m,4.97 *,23.54,6.21
KRETAM HOLDINGS BERHAD,PLANTATION ,KRETAM (1996),MAIN,1996,907.77m,2.328b,-1.30 *,-,-4.98
KWANTAS CORPORATION BERHAD,PLANTATION ,KWANTAS (6572),MAIN,6572,218.17m,311.68m,-38.75 *,-,-10.25
MALPAC HOLDINGS BERHAD,PLANTATION ,MALPAC (4936),MAIN,4936,59.25m,75.00m,-7.70 *,-,-3.44
MATANG BERHAD,PLANTATION ,MATANG (0189),ACE,189,126.70m,1.810b,0.13 *,53.85,1.3
