Code,Price,High,Low,Volume,TimeStamp
SJC (9431),0.515,0.000 ,0.000,0.0,2019-07-18 18:34:06.630276
SRIDGE (0129),0.235,0.230 ,0.235,0.8123,2019-07-18 18:34:07.985866
STAR (6084),0.635,0.635 ,0.640,0.1053,2019-07-18 18:34:09.300700
TIMECOM (5031),9.070,9.050 ,9.100,0.4978,2019-07-18 18:34:10.737168
TM (4863),4.360,4.250 ,4.360,3.2595,2019-07-18 18:34:12.202750
UTUSAN (5754),0.100,0.100 ,0.100,0.031,2019-07-18 18:34:13.795297
XOX (0165),0.050,0.050 ,0.050,1.1,2019-07-18 18:34:15.086607
ADVENTA (7191),0.420,0.000 ,0.000,0.0,2019-07-18 18:34:16.599705
AHEALTH (7090),2.120,2.100 ,2.120,0.0561,2019-07-18 18:34:17.944442
CAREPLS (0163),0.150,0.150 ,0.155,0.5745,2019-07-18 18:34:19.421917
DPHARMA (7148),1.380,1.370 ,1.380,0.5982,2019-07-18 18:34:20.775179
HARTA (5168),5.170,5.140 ,5.190,1.3089,2019-07-18 18:34:22.173130
IHH (5225),5.760,5.760 ,5.780,0.7854,2019-07-18 18:34:23.575826
KOSSAN (7153),4.050,4.010 ,4.140,2.4562,2019-07-18 18:34:24.983447
KOTRA (0002),1.840,1.840 ,1.900,0.0093,2019-07-18 18:34:26.361250
KPJ (5878),0.980,0.970 ,0.985,3.1776,2019-07-18 18:34:27.680063
LKL (0182),0.105,0.000 ,0.000,0.0,2019-07-18 18:34:29.150737
MGRC (0155),0.260,0.260 ,0.260,0.0014,2019-07-18 18:34:30.584740
NOVA (0201),0.455,0.455 ,0.455,0.05,2019-07-18 18:34:32.840888
PHARMA (7081),2.730,2.720 ,2.750,0.0956,2019-07-18 18:34:34.194307
SUPERMX (7106),1.620,1.620 ,1.650,2.4338,2019-07-18 18:34:35.580908
TMCLIFE (0101),0.700,0.700 ,0.720,0.2191,2019-07-18 18:34:37.021508
TOPGLOV (7113),4.650,4.590 ,4.690,7.3853,2019-07-18 18:34:38.343545
YSPSAH (7178),2.420,2.410 ,2.420,0.0032,2019-07-18 18:34:39.724222
AASIA (7054),0.190,0.000 ,0.000,0.0,2019-07-18 18:34:41.132499
BKAWAN (1899),16.280,16.280 ,16.520,0.0096,2019-07-18 18:34:42.497543
BLDPLNT (5069),6.730,0.000 ,0.000,0.0,2019-07-18 18:34:43.832654
BPLANT (5254),0.710,0.710 ,0.715,0.2328,2019-07-18 18:34:45.184950
CEPAT (8982),0.545,0.545 ,0.550,0.0322,2019-07-18 18:34:46.538095
CHINTEK (1929),6.600,6.600 ,6.600,0.0025,2019-07-18 18:34:47.958756
DUTALND (3948),0.440,0.440 ,0.445,0.2185,2019-07-18 18:34:49.296441
FAREAST (5029),2.680,2.680 ,2.680,0.0131,2019-07-18 18:34:50.600338
FGV (5222),1.100,1.100 ,1.120,2.7347,2019-07-18 18:34:51.928471
GENP (2291),9.940,9.890 ,9.950,0.149,2019-07-18 18:34:53.244199
GLBHD (7382),0.385,0.385 ,0.385,0.005,2019-07-18 18:34:54.549614
GOPENG (2135),0.660,0.650 ,0.700,0.0046,2019-07-18 18:34:55.867102
HARNLEN (7501),0.650,0.650 ,0.650,0.0377,2019-07-18 18:34:57.144157
HSPLANT (5138),1.550,1.550 ,1.580,0.01,2019-07-18 18:34:58.476616
IJMPLNT (2216),1.450,1.430 ,1.450,0.0329,2019-07-18 18:34:59.806511
INCKEN (2607),0.600,0.600 ,0.600,0.05,2019-07-18 18:35:01.095091
INNO (6262),0.675,0.675 ,0.675,0.037,2019-07-18 18:35:02.495157
IOICORP (1961),4.240,4.230 ,4.260,0.474,2019-07-18 18:35:03.773644
JTIASA (4383),0.460,0.460 ,0.475,0.5302,2019-07-18 18:35:05.253461
KLK (2445),24.000,23.940 ,24.260,0.1248,2019-07-18 18:35:06.818328
KLUANG (2453),3.450,0.000 ,0.000,0.0,2019-07-18 18:35:08.104984
KMLOONG (5027),1.160,1.160 ,1.170,0.039,2019-07-18 18:35:11.327253
KRETAM (1996),0.380,0.380 ,0.380,0.0615,2019-07-18 18:35:13.433897
KWANTAS (6572),0.700,0.700 ,0.700,0.001,2019-07-18 18:35:14.895603
MALPAC (4936),0.790,0.000 ,0.000,0.0,2019-07-18 18:35:16.238486
MATANG (0189),0.070,0.070 ,0.070,0.17,2019-07-18 18:35:17.542694
MHC (5026),0.580,0.580 ,0.585,0.0349,2019-07-18 18:35:18.844034
NPC (5047),1.900,0.000 ,0.000,0.0,2019-07-18 18:35:20.164413
NSOP (2038),3.400,0.000 ,0.000,0.0,2019-07-18 18:35:21.869313
PINEPAC (1902),0.300,0.295 ,0.305,0.031,2019-07-18 18:35:23.183730
PLS (9695),0.910,0.910 ,0.915,0.0446,2019-07-18 18:35:24.552594
RSAWIT (5113),0.170,0.170 ,0.180,0.9523,2019-07-18 18:35:25.908401
RVIEW (2542),2.920,0.000 ,0.000,0.0,2019-07-18 18:35:27.258503
SBAGAN (2569),2.900,0.000 ,0.000,0.0,2019-07-18 18:35:28.579210
SHCHAN (4316),0.300,0.000 ,0.000,0.0,2019-07-18 18:35:30.082449
SIMEPLT (5285),4.700,4.680 ,4.800,0.7581,2019-07-18 18:35:31.393166
SOP (5126),2.300,2.300 ,2.300,0.0101,2019-07-18 18:35:32.771021
SWKPLNT (5135),1.550,0.000 ,0.000,0.0,2019-07-18 18:35:34.202139
TAANN (5012),2.270,2.250 ,2.270,0.0415,2019-07-18 18:35:35.559443
TDM (2054),0.195,0.190 ,0.200,1.0611,2019-07-18 18:35:36.910597
THPLANT (5112),0.495,0.495 ,0.510,0.0759,2019-07-18 18:35:38.214049
TSH (9059),0.900,0.890 ,0.900,0.011,2019-07-18 18:35:39.509425
UMCCA (2593),5.240,5.240 ,5.240,0.002,2019-07-18 18:35:40.835565
UTDPLT (2089),26.480,26.320 ,26.700,0.0075,2019-07-18 18:35:42.254105
ACME (7131),0.250,0.000 ,0.000,0.0,2019-07-18 18:35:43.543455
AMPROP (1007),0.550,0.535 ,0.550,0.007,2019-07-18 18:35:44.810000
AMVERTON (5959),1.120,1.120 ,1.120,0.0255,2019-07-18 18:35:46.090127
ARK (7007),0.290,0.000 ,0.000,0.0,2019-07-18 18:35:47.383020
ASIAPAC (4057),0.135,0.135 ,0.135,0.862,2019-07-18 18:35:48.665346
AYER (2305),4.600,0.000 ,0.000,0.0,2019-07-18 18:35:49.944542
BCB (6602),0.230,0.230 ,0.230,0.05,2019-07-18 18:35:51.314572
BDB (6173),0.370,0.370 ,0.370,0.002,2019-07-18 18:35:52.599025
BERTAM (9814),0.190,0.000 ,0.000,0.0,2019-07-18 18:35:54.363267
BJASSET (3239),0.300,0.295 ,0.300,0.055,2019-07-18 18:35:55.672668
CHHB (5738),1.490,0.000 ,0.000,0.0,2019-07-18 18:35:56.948339
CRESNDO (6718),1.240,1.240 ,1.240,0.017,2019-07-18 18:35:58.235891
CVIEW (5049),1.470,1.470 ,1.470,0.012,2019-07-18 18:35:59.545373
DBHD (3484),0.425,0.425 ,0.440,0.3879,2019-07-18 18:36:00.934465
DPS (7198),0.060,0.060 ,0.060,0.6349,2019-07-18 18:36:02.317756
E&O (3417),0.815,0.795 ,0.815,0.2554,2019-07-18 18:36:04.119523
ECOFIRS (3557),0.305,0.295 ,0.305,0.1602,2019-07-18 18:36:05.457468
ECOWLD (8206),0.800,0.795 ,0.800,0.8453,2019-07-18 18:36:07.070347
ENCORP (6076),0.355,0.350 ,0.355,0.01,2019-07-18 18:36:08.482272
ENRA (8613),1.350,0.000 ,0.000,0.0,2019-07-18 18:36:09.774508
EUPE (6815),0.660,0.660 ,0.660,0.009,2019-07-18 18:36:11.222999
EWEIN (7249),0.675,0.670 ,0.690,1.2479,2019-07-18 18:36:12.746079
EWINT (5283),0.655,0.645 ,0.655,0.1789,2019-07-18 18:36:14.037257
FARLIM (6041),0.335,0.335 ,0.345,0.062,2019-07-18 18:36:15.321225
GLOMAC (5020),0.385,0.380 ,0.385,0.03,2019-07-18 18:36:16.676063
GMUTUAL (9962),0.280,0.000 ,0.000,0.0,2019-07-18 18:36:18.038388
GOB (1147),0.165,0.160 ,0.165,0.048,2019-07-18 18:36:19.351018
GSB (7077),0.185,0.185 ,0.185,1.6353,2019-07-18 18:36:20.667384
GUOCO (1503),0.690,0.690 ,0.705,0.101,2019-07-18 18:36:21.938310
HCK (7105),1.230,1.200 ,1.230,0.113,2019-07-18 18:36:23.216396
HOOVER (7010),0.585,0.545 ,0.585,0.0011,2019-07-18 18:36:24.535366
HUAYANG (5062),0.445,0.440 ,0.465,1.2568,2019-07-18 18:36:25.832396
IBHD (4251),0.355,0.350 ,0.355,0.3706,2019-07-18 18:36:27.394463
IBRACO (5084),0.680,0.000 ,0.000,0.0,2019-07-18 18:36:28.800496
IDEAL (9687),1.340,1.320 ,1.340,0.0521,2019-07-18 18:36:30.160655
IGBB (5606),2.710,0.000 ,0.000,0.0,2019-07-18 18:36:31.572829
IOIPG (5249),1.350,1.320 ,1.350,1.1736,2019-07-18 18:36:32.910236
IVORY (5175),0.205,0.200 ,0.210,0.2749,2019-07-18 18:36:34.242709
IWCITY (1589),0.995,0.995 ,1.030,14.0239,2019-07-18 18:36:35.533018
JIANKUN (8923),0.330,0.000 ,0.000,0.0,2019-07-18 18:36:36.924524
JKGLAND (6769),0.080,0.080 ,0.080,0.356,2019-07-18 18:36:38.199635
KBUNAI (3115),0.100,0.095 ,0.100,0.8554,2019-07-18 18:36:39.513433
KEN (7323),0.585,0.585 ,0.585,0.0006,2019-07-18 18:36:40.801963
KSL (5038),0.845,0.840 ,0.855,0.3002,2019-07-18 18:36:42.242968
L&G (3174),0.155,0.150 ,0.155,1.8184,2019-07-18 18:36:44.230663
LBICAP (8494),0.720,0.700 ,0.725,0.0104,2019-07-18 18:36:45.683415
LBS (5789),0.535,0.530 ,0.560,2.5755,2019-07-18 18:36:47.158629
LIENHOE (3573),0.270,0.270 ,0.285,0.1639,2019-07-18 18:36:48.575813
MAGNA (7617),0.980,0.900 ,0.980,0.15,2019-07-18 18:36:49.875707
MAHSING (8583),0.905,0.900 ,0.910,0.5162,2019-07-18 18:36:51.272060
MALTON (6181),0.545,0.545 ,0.560,2.0626,2019-07-18 18:36:52.604797
MATRIX (5236),1.910,1.910 ,1.940,0.1574,2019-07-18 18:36:53.926422
MBWORLD (7189),1.560,1.560 ,1.580,0.2621,2019-07-18 18:36:55.388233
MCT (5182),0.280,0.275 ,0.280,0.0969,2019-07-18 18:36:56.708078
MENANG (1694),0.360,0.345 ,0.360,0.0755,2019-07-18 18:36:58.111437
MERIDIAN (5040),0.225,0.205 ,0.225,1.4094,2019-07-18 18:36:59.978291
MJPERAK (8141),0.215,0.215 ,0.225,0.3,2019-07-18 18:37:01.274586
